county_desc,reg_DEM,reg_Other,reg_REP,reg_Total,turn_DEM,turn_Other,turn_REP,turn_Total,ab_DEM,ab_Other,ab_REP,ab_Total,DEM%_of_registrants,REP%_of_registrants,Other%_of_registrants,%DEM_voting,%REP_voting,%Other_voting,DEM%_of_AB,REP%_of_AB,Other%_of_AB,DEM%_of_votes,REP%_of_votes,Other%_of_votes,DEM_votes%-reg%,REP_votes%-reg%,Other_votes%-reg%
Urban4,50196.0,160202.0,-4094.0,206304.0,81381.0,146906.0,18037.0,246324.0,191514.0,227984.0,104653.0,524151.0,-1.6400000000000006,-2.59,4.219999999999999,5.049999999999997,4.0,5.060000000000002,-3.240000000000002,-2.370000000000001,5.609999999999996,-1.3100000000000023,-3.0700000000000003,4.380000000000003,0.3299999999999983,-0.4800000000000004,0.1600000000000037
Suburban16,-18304.0,124765.0,44911.0,151372.0,46599.0,134279.0,83329.0,264207.0,127450.0,186832.0,146540.0,460822.0,-3.1799999999999997,-0.08000000000000185,3.260000000000005,7.459999999999994,6.97999999999999,7.039999999999999,-3.809999999999995,-0.17999999999999972,3.9899999999999984,-2.969999999999999,-0.3399999999999963,3.3099999999999987,0.21000000000000085,-0.25999999999999446,0.049999999999993605
Rural80,-140579.0,125492.0,104344.0,89257.0,-28984.0,144651.0,149741.0,265408.0,99310.0,187927.0,210835.0,498072.0,-6.299999999999997,2.700000000000003,3.6099999999999994,7.070000000000007,7.209999999999994,7.589999999999996,-5.850000000000001,1.9499999999999957,3.91,-6.239999999999995,2.5700000000000003,3.66,0.060000000000002274,-0.13000000000000256,0.05000000000000071
Statewide,-108687.0,410459.0,145161.0,446933.0,98996.0,425836.0,251107.0,775939.0,418274.0,602743.0,462028.0,1483045.0,-3.8599999999999994,0.14000000000000057,3.7200000000000024,6.6000000000000085,6.349999999999994,6.660000000000004,-4.280000000000001,-0.23999999999999844,4.52,-3.710000000000001,-0.0799999999999983,3.799999999999997,0.14999999999999858,-0.21999999999999886,0.07999999999999474
