,county_desc,reg_CST,reg_DEM,reg_GRE,reg_LIB,reg_REP,reg_UNA,reg_Total,turn_CST,turn_DEM,turn_GRE,turn_LIB,turn_REP,turn_UNA,turn_Total,ab_CST,ab_DEM,ab_GRE,ab_LIB,ab_REP,ab_UNA,ab_Total,DEM%_of_registrants,REP%_of_registrants,UNA%_of_registrants,LIB%_of_registrants,CST%_of_registrants,GRE%_of_registrants,%DEM_voting,%REP_voting,%UNA_voting,%LIB_voting,%CST_voting,%GRE_voting,DEM%_of_AB,REP%_of_AB,UNA%_of_AB,LIB%_of_AB,CST%_of_AB,GRE%_of_AB,DEM%_of_votes,REP%_of_votes,UNA%_of_votes,LIB%_of_votes,CST%_of_votes,GRE%_of_votes,DEM_votes%-reg%,REP_votes%-reg%,UNA_votes%-reg%,LIB_votes%-reg%,CST_votes%-reg%,GRE_votes%-reg%
0,Urban4,1256.0,909688.0,1247.0,15862.0,530552.0,786963.0,2245568.0,869.0,688691.0,929.0,10363.0,428188.0,562136.0,1691176.0,643.0,618304.0,740.0,7849.0,353534.0,479792.0,1460862.0,40.51,23.63,35.05,0.71,0.06,0.06,75.71,80.71,71.43,65.33,69.19,74.5,42.32,24.2,32.84,0.54,0.04,0.05,40.72,25.32,33.24,0.61,0.05,0.05,0.21000000000000085,1.6900000000000013,-1.8099999999999952,-0.09999999999999998,-0.009999999999999995,-0.009999999999999995
1,Suburban16,1546.0,791035.0,1323.0,16248.0,717813.0,808444.0,2336409.0,1019.0,595245.0,942.0,9907.0,580571.0,550838.0,1738522.0,729.0,530452.0,751.0,7324.0,474073.0,459297.0,1472626.0,33.86,30.72,34.6,0.7,0.07,0.06,75.25,80.88,68.14,60.97,65.91,71.2,36.02,32.19,31.19,0.5,0.05,0.05,34.24,33.39,31.68,0.57,0.06,0.05,0.38000000000000256,2.6700000000000017,-2.9200000000000017,-0.13,-0.010000000000000009,-0.009999999999999995
2,Rural80,1866.0,926017.0,1077.0,14399.0,985177.0,860716.0,2789252.0,1214.0,687653.0,667.0,8936.0,814078.0,601772.0,2114320.0,835.0,577529.0,517.0,6215.0,638762.0,472909.0,1696767.0,33.2,35.32,30.86,0.52,0.07,0.04,74.26,82.63,69.92,62.06,65.06,61.93,34.04,37.65,27.87,0.37,0.05,0.03,32.52,38.5,28.46,0.42,0.06,0.03,-0.6799999999999997,3.1799999999999997,-2.3999999999999986,-0.10000000000000003,-0.010000000000000009,-0.010000000000000002
3,Statewide,4668.0,2626740.0,3647.0,46509.0,2233542.0,2456123.0,7371229.0,3102.0,1971589.0,2538.0,29206.0,1822837.0,1714746.0,5544018.0,2207.0,1726285.0,2008.0,21388.0,1466369.0,1411998.0,4630255.0,35.64,30.3,33.32,0.63,0.06,0.05,75.06,81.61,69.82,62.8,66.45,69.59,37.28,31.67,30.5,0.46,0.05,0.04,35.56,32.88,30.93,0.53,0.06,0.05,-0.0799999999999983,2.580000000000002,-2.3900000000000006,-0.09999999999999998,0.0,0.0
