,County,Trump,Biden,Jorgensen,Hawkins,Blankenship,Simmons,Pres_Write_In,Total_Cast,Trump%,Biden%,Jorgensen%,Hawkins%,Blankenship%,Simmons%,Pres_Write_In%,Trump-Biden,Trump-Biden%
36,GATES,3367.0,2546.0,41.0,4.0,7.0,0.0,108.0,6073.0,55.44,41.92,0.68,0.07,0.12,0.0,1.78,821.0,13.519999999999996
37,GRAHAM,3710.0,905.0,26.0,5.0,13.0,0.0,101.0,4760.0,77.94,19.01,0.55,0.11,0.27,0.0,2.12,2805.0,58.92999999999999
38,GRANVILLE,16647.0,14565.0,244.0,55.0,31.0,2.0,657.0,32201.0,51.7,45.23,0.76,0.17,0.1,0.01,2.04,2082.0,6.470000000000006
39,GREENE,4874.0,3832.0,26.0,8.0,4.0,0.0,142.0,8886.0,54.85,43.12,0.29,0.09,0.05,0.0,1.6,1042.0,11.730000000000004
40,GUILFORD,107294.0,173086.0,2232.0,704.0,423.0,4.0,2948.0,286691.0,37.42,60.37,0.78,0.25,0.15,0.0,1.03,-65792.0,-22.949999999999996
41,HALIFAX,10080.0,15545.0,62.0,31.0,24.0,0.0,297.0,26039.0,38.71,59.7,0.24,0.12,0.09,0.0,1.14,-5465.0,-20.990000000000002
42,HARNETT,35177.0,22093.0,708.0,125.0,80.0,0.0,1079.0,59262.0,59.36,37.28,1.19,0.21,0.13,0.0,1.82,13084.0,22.08
43,HAYWOOD,22834.0,13144.0,334.0,89.0,56.0,0.0,1339.0,37796.0,60.41,34.78,0.88,0.24,0.15,0.0,3.54,9690.0,25.629999999999995
44,HENDERSON,40032.0,27211.0,670.0,175.0,131.0,0.0,1405.0,69624.0,57.5,39.08,0.96,0.25,0.19,0.0,2.02,12821.0,18.42
45,HERTFORD,3479.0,7097.0,28.0,9.0,7.0,0.0,101.0,10721.0,32.45,66.2,0.26,0.08,0.07,0.0,0.94,-3618.0,-33.75
46,HOKE,9453.0,11804.0,262.0,50.0,31.0,0.0,520.0,22120.0,42.74,53.36,1.18,0.23,0.14,0.0,2.35,-2351.0,-10.619999999999997
47,HYDE,1418.0,1046.0,17.0,6.0,1.0,0.0,77.0,2565.0,55.28,40.78,0.66,0.23,0.04,0.0,3.0,372.0,14.5
48,IREDELL,67010.0,33888.0,907.0,178.0,150.0,0.0,2343.0,104476.0,64.14,32.44,0.87,0.17,0.14,0.0,2.24,33122.0,31.700000000000003
49,JACKSON,11356.0,9591.0,257.0,102.0,58.0,0.0,399.0,21763.0,52.18,44.07,1.18,0.47,0.27,0.0,1.83,1765.0,8.11
50,JOHNSTON,68353.0,41257.0,1164.0,215.0,150.0,2.0,3202.0,114343.0,59.78,36.08,1.02,0.19,0.13,0.0,2.8,27096.0,23.700000000000003
51,JONES,3280.0,2197.0,34.0,5.0,5.0,0.0,87.0,5608.0,58.49,39.18,0.61,0.09,0.09,0.0,1.55,1083.0,19.310000000000002
52,LEE,16469.0,12143.0,235.0,65.0,47.0,1.0,1658.0,30618.0,53.79,39.66,0.77,0.21,0.15,0.0,5.42,4326.0,14.130000000000003
53,LENOIR,14590.0,13605.0,126.0,29.0,30.0,0.0,13154.0,41534.0,35.13,32.76,0.3,0.07,0.07,0.0,31.67,985.0,2.3700000000000045
54,LINCOLN,36341.0,13274.0,373.0,87.0,59.0,0.0,1588.0,51722.0,70.26,25.66,0.72,0.17,0.11,0.0,3.07,23067.0,44.60000000000001
55,MACON,14211.0,6230.0,169.0,31.0,24.0,0.0,814.0,21479.0,66.16,29.01,0.79,0.14,0.11,0.0,3.79,7981.0,37.14999999999999
56,MADISON,7979.0,4901.0,103.0,37.0,19.0,0.0,173.0,13212.0,60.39,37.1,0.78,0.28,0.14,0.0,1.31,3078.0,23.29
57,MARTIN,6532.0,5911.0,59.0,13.0,16.0,0.0,245.0,12776.0,51.13,46.27,0.46,0.1,0.13,0.0,1.92,621.0,4.859999999999999
58,MCDOWELL,16883.0,5832.0,184.0,45.0,21.0,0.0,594.0,23559.0,71.66,24.75,0.78,0.19,0.09,0.0,2.52,11051.0,46.91
59,MECKLENBURG,179211.0,378107.0,5427.0,1611.0,763.0,33.0,7978.0,573130.0,31.27,65.97,0.95,0.28,0.13,0.01,1.39,-198896.0,-34.7
60,MITCHELL,7090.0,1867.0,47.0,11.0,12.0,0.0,157.0,9184.0,77.2,20.33,0.51,0.12,0.13,0.0,1.71,5223.0,56.870000000000005
61,MONTGOMERY,8411.0,4327.0,78.0,13.0,11.0,0.0,325.0,13165.0,63.89,32.87,0.59,0.1,0.08,0.0,2.47,4084.0,31.020000000000003
62,MOORE,36764.0,20779.0,520.0,85.0,70.0,0.0,1069.0,59287.0,62.01,35.05,0.88,0.14,0.12,0.0,1.8,15985.0,26.96
63,NASH,25827.0,25947.0,287.0,75.0,56.0,1.0,1562.0,53755.0,48.05,48.27,0.53,0.14,0.1,0.0,2.91,-120.0,-0.22000000000000597
