,County,Trump,Trump%,Biden,Biden%,Tillis,Tillis%,Cunningham,Cunningham%,Forest,Forest%,Cooper,Cooper%,Robinson,Robinson%,Holley,Holley%,ONeill,ONeill%,Stein,Stein%,Sykes,Sykes%,Marshall,Marshall%,Folwell,Folwell%,Chatterji,Chatterji%,Truitt,Truitt%,Mangrum,Mangrum%,Street,Street%,Wood,Wood%,Troxler,Troxler%,Wadsworth,Wadsworth%,Dobson,Dobson%,Holmes,Holmes%,Causey,Causey%,Goodwin,Goodwin%,REP_AVG,REP_MIN,REP_MAX,DEM_AVG,DEM_MIN,DEM_MAX,REP_High-Low,REP_AVG-DEM_AVG,Total_President,Total_Senate,Total_Governor
10,BUNCOMBE,62412.0,37.16,96515.0,57.47,60688.0,37.92,92664.0,57.9,58153.0,36.25,99395.0,61.95,63817.0,40.29,94564.0,59.71,61528.0,38.96,96389.0,61.04,60459.0,38.52,96511.0,61.48,65394.0,41.95,90497.0,58.05,62703.0,40.11,93613.0,59.89,60542.0,38.66,96041.0,61.34,65736.0,41.81,91502.0,58.19,62047.0,39.65,94451.0,60.35,62999.0,40.3,93325.0,59.7,62206.0,58153.0,65736.0,94622.0,90497.0,99395.0,7583.0,-32416.0,167950.0,160042.0,160442.0
11,BURKE,31019.0,68.72,13118.0,29.06,28934.0,65.51,13108.0,29.68,28898.0,65.0,15028.0,33.8,30727.0,69.96,13191.0,30.04,29615.0,67.55,14224.0,32.45,29088.0,66.63,14569.0,33.37,30290.0,69.86,13068.0,30.14,30346.0,69.68,13205.0,30.32,29499.0,67.78,14022.0,32.22,30942.0,70.93,12683.0,29.07,30180.0,69.21,13429.0,30.79,30293.0,69.7,13166.0,30.3,29986.0,28898.0,31019.0,13568.0,12683.0,15028.0,2121.0,16418.0,45137.0,44170.0,44459.0
12,CABARRUS,63237.0,52.72,52162.0,43.48,61231.0,52.74,48886.0,42.11,59682.0,51.3,54665.0,46.99,64355.0,55.95,50666.0,44.05,61785.0,53.86,52934.0,46.14,60890.0,53.48,52975.0,46.52,64949.0,57.49,48033.0,42.51,63169.0,55.66,50325.0,44.34,61095.0,53.81,52450.0,46.19,65334.0,57.38,48533.0,42.62,62504.0,55.19,50740.0,44.81,63485.0,56.03,49827.0,43.97,62643.0,59682.0,65334.0,51016.0,48033.0,54665.0,5652.0,11627.0,119958.0,116102.0,116337.0
13,CALDWELL,32119.0,74.1,10245.0,23.63,29971.0,70.76,10288.0,24.29,30234.0,70.85,11926.0,27.95,31829.0,75.77,10181.0,24.23,30533.0,72.84,11386.0,27.16,30322.0,72.68,11396.0,27.32,31407.0,75.76,10048.0,24.24,31291.0,75.27,10283.0,24.73,30575.0,73.47,11040.0,26.53,32038.0,76.89,9629.0,23.11,31132.0,74.78,10502.0,25.22,31342.0,75.31,10276.0,24.69,31066.0,29971.0,32119.0,10600.0,9629.0,11926.0,2148.0,20466.0,43347.0,42357.0,42673.0
14,CAMDEN,4312.0,70.09,1537.0,24.98,4181.0,71.62,1403.0,24.03,4200.0,71.03,1600.0,27.06,4340.0,74.79,1463.0,25.21,4208.0,73.5,1517.0,26.5,4110.0,71.87,1609.0,28.13,4196.0,74.02,1473.0,25.98,4189.0,73.59,1503.0,26.41,4088.0,71.59,1622.0,28.41,4330.0,75.36,1416.0,24.64,4168.0,73.11,1533.0,26.89,4154.0,73.11,1528.0,26.89,4206.0,4088.0,4340.0,1517.0,1403.0,1622.0,252.0,2689.0,6152.0,5838.0,5913.0
15,CARTERET,30028.0,69.31,12093.0,27.91,28492.0,67.47,11823.0,28.0,28689.0,67.47,13293.0,31.26,29985.0,71.96,11685.0,28.04,29241.0,70.19,12416.0,29.81,28170.0,68.35,13042.0,31.65,29217.0,71.43,11686.0,28.57,29255.0,71.38,11730.0,28.62,28033.0,68.22,13060.0,31.78,30636.0,73.87,10836.0,26.13,29035.0,70.73,12016.0,29.27,29500.0,71.64,11679.0,28.36,29190.0,28033.0,30636.0,12113.0,10836.0,13293.0,2603.0,17077.0,43324.0,42228.0,42524.0
16,CASWELL,7089.0,57.75,4860.0,39.59,6643.0,55.54,4916.0,41.1,6634.0,55.19,5285.0,43.97,7061.0,59.52,4802.0,40.48,6712.0,56.86,5093.0,43.14,6598.0,55.96,5192.0,44.04,6760.0,57.7,4955.0,42.3,6807.0,57.8,4969.0,42.2,6654.0,56.82,5056.0,43.18,7307.0,61.6,4555.0,38.4,6880.0,58.35,4910.0,41.65,6825.0,58.08,4927.0,41.92,6831.0,6598.0,7307.0,4960.0,4555.0,5285.0,709.0,1871.0,12275.0,11961.0,12020.0
17,CATAWBA,56588.0,66.8,25689.0,30.32,54004.0,65.16,24845.0,29.98,53802.0,64.63,28267.0,33.96,57046.0,69.11,25495.0,30.89,55108.0,66.83,27351.0,33.17,54802.0,66.66,27405.0,33.34,57243.0,69.94,24608.0,30.06,56687.0,69.12,25331.0,30.88,55123.0,67.23,26866.0,32.77,57750.0,70.27,24437.0,29.73,56231.0,68.57,25773.0,31.43,56844.0,69.4,25061.0,30.6,55936.0,53802.0,57750.0,25927.0,24437.0,28267.0,3948.0,30009.0,84716.0,82883.0,83248.0
18,CHATHAM,21186.0,42.72,26787.0,54.01,21039.0,43.52,25697.0,53.16,19937.0,41.07,28128.0,57.94,21805.0,45.66,25951.0,54.34,20901.0,43.8,26813.0,56.2,20340.0,42.85,27133.0,57.15,22015.0,46.76,25070.0,53.24,21469.0,45.47,25746.0,54.53,20169.0,42.69,27075.0,57.31,23597.0,49.64,23936.0,50.36,21380.0,45.17,25954.0,54.83,21748.0,46.16,25368.0,53.84,21299.0,19937.0,23597.0,26138.0,23936.0,28128.0,3660.0,-4839.0,49598.0,48338.0,48544.0
19,CHEROKEE,12628.0,76.14,3583.0,21.6,12048.0,73.98,3589.0,22.04,12349.0,75.52,3772.0,23.07,12667.0,77.85,3603.0,22.15,12510.0,77.22,3690.0,22.78,12327.0,76.14,3862.0,23.86,12475.0,77.28,3667.0,22.72,12516.0,77.5,3634.0,22.5,12321.0,76.24,3839.0,23.76,12602.0,77.82,3591.0,22.18,12431.0,76.95,3724.0,23.05,12513.0,77.49,3635.0,22.51,12449.0,12048.0,12667.0,3682.0,3583.0,3862.0,619.0,8767.0,16585.0,16286.0,16351.0
