,County,Trump,Trump%,Biden,Biden%,Tillis,Tillis%,Cunningham,Cunningham%,Forest,Forest%,Cooper,Cooper%,Robinson,Robinson%,Holley,Holley%,ONeill,ONeill%,Stein,Stein%,Sykes,Sykes%,Marshall,Marshall%,Folwell,Folwell%,Chatterji,Chatterji%,Truitt,Truitt%,Mangrum,Mangrum%,Street,Street%,Wood,Wood%,Troxler,Troxler%,Wadsworth,Wadsworth%,Dobson,Dobson%,Holmes,Holmes%,Causey,Causey%,Goodwin,Goodwin%,REP_AVG,REP_MIN,REP_MAX,DEM_AVG,DEM_MIN,DEM_MAX,REP_High-Low,REP_AVG-DEM_AVG,Total_President,Total_Senate,Total_Governor
37,GRAHAM,3710.0,77.94,905.0,19.01,3355.0,73.75,1013.0,22.27,3489.0,75.13,1104.0,23.77,3533.0,78.86,947.0,21.14,3403.0,76.97,1018.0,23.03,3321.0,75.51,1077.0,24.49,3363.0,77.43,980.0,22.57,3412.0,78.15,954.0,21.85,3330.0,76.39,1029.0,23.61,3462.0,78.93,924.0,21.07,3380.0,77.33,991.0,22.67,3405.0,77.74,975.0,22.26,3430.0,3321.0,3710.0,993.0,905.0,1104.0,389.0,2437.0,4760.0,4549.0,4644.0
38,GRANVILLE,16647.0,51.7,14565.0,45.23,15687.0,50.02,14368.0,45.82,15411.0,48.85,15756.0,49.94,16621.0,53.36,14527.0,46.64,15806.0,50.81,15304.0,49.19,15264.0,49.18,15773.0,50.82,16780.0,54.44,14043.0,45.56,16468.0,53.3,14430.0,46.7,15303.0,49.47,15629.0,50.53,17533.0,56.55,13472.0,43.45,16234.0,52.52,14675.0,47.48,16349.0,52.85,14588.0,47.15,16175.0,15264.0,17533.0,14761.0,13472.0,15773.0,2269.0,1414.0,32201.0,31359.0,31548.0
39,GREENE,4874.0,54.85,3832.0,43.12,4591.0,52.78,3842.0,44.17,4678.0,53.55,3991.0,45.69,4866.0,56.28,3780.0,43.72,4609.0,53.54,4000.0,46.46,4387.0,51.09,4200.0,48.91,4735.0,55.46,3803.0,44.54,4733.0,55.27,3830.0,44.73,4297.0,50.12,4277.0,49.88,4947.0,57.57,3646.0,42.43,4656.0,54.26,3925.0,45.74,4717.0,54.91,3874.0,45.09,4674.0,4297.0,4947.0,3917.0,3646.0,4277.0,650.0,757.0,8886.0,8699.0,8735.0
40,GUILFORD,107294.0,37.42,173086.0,60.37,104908.0,37.18,165823.0,58.77,97973.0,34.67,180160.0,63.75,111228.0,39.72,168772.0,60.28,106199.0,38.04,172953.0,61.96,102649.0,37.01,174671.0,62.99,111080.0,40.2,165272.0,59.8,107997.0,39.06,168473.0,60.94,103059.0,37.3,173273.0,62.7,120688.0,43.33,157827.0,56.67,107341.0,38.86,168890.0,61.14,110952.0,40.09,165809.0,59.91,107614.0,97973.0,120688.0,169584.0,157827.0,180160.0,22715.0,-61970.0,286691.0,282137.0,282592.0
41,HALIFAX,10080.0,38.71,15545.0,59.7,9446.0,36.93,15438.0,60.36,9403.0,36.59,16098.0,62.64,9997.0,39.34,15414.0,60.66,9395.0,37.19,15870.0,62.81,9188.0,36.21,16185.0,63.79,9985.0,39.66,15191.0,60.34,9749.0,38.59,15511.0,61.41,9042.0,35.67,16305.0,64.33,10222.0,40.26,15167.0,59.74,9676.0,38.19,15658.0,61.81,9626.0,38.03,15683.0,61.97,9651.0,9042.0,10222.0,15672.0,15167.0,16305.0,1180.0,-6021.0,26039.0,25577.0,25698.0
42,HARNETT,35177.0,59.36,22093.0,37.28,33321.0,57.57,21523.0,37.18,33049.0,56.9,23987.0,41.3,35220.0,61.42,22122.0,38.58,34027.0,59.52,23142.0,40.48,32172.0,56.28,24997.0,43.72,35135.0,61.96,21573.0,38.04,34786.0,61.19,22060.0,38.81,33192.0,58.29,23747.0,41.71,36554.0,63.89,20660.0,36.11,34479.0,60.53,22484.0,39.47,34728.0,61.12,22093.0,38.88,34320.0,32172.0,36554.0,22540.0,20660.0,24997.0,4382.0,11780.0,59262.0,57883.0,58082.0
43,HAYWOOD,22834.0,60.41,13144.0,34.78,21502.0,59.26,13113.0,36.14,21185.0,58.11,14779.0,40.54,23008.0,63.74,13086.0,36.26,22160.0,61.56,13835.0,38.44,21654.0,60.44,14172.0,39.56,22750.0,63.84,12886.0,36.16,22519.0,63.07,13185.0,36.93,21828.0,61.06,13920.0,38.94,23957.0,66.55,12039.0,33.45,22284.0,62.39,13432.0,37.61,22640.0,63.35,13098.0,36.65,22360.0,21185.0,23957.0,13391.0,12039.0,14779.0,2772.0,8969.0,37796.0,36283.0,36459.0
44,HENDERSON,40032.0,57.5,27211.0,39.08,39359.0,57.99,25782.0,37.99,38028.0,55.77,29144.0,42.74,41236.0,61.08,26274.0,38.92,40401.0,60.0,26933.0,40.0,39701.0,59.25,27305.0,40.75,41543.0,62.34,25092.0,37.66,40867.0,61.23,25878.0,38.77,39829.0,59.64,26951.0,40.36,42203.0,62.98,24809.0,37.02,40524.0,60.7,26239.0,39.3,41049.0,61.61,25579.0,38.39,40398.0,38028.0,42203.0,26433.0,24809.0,29144.0,4175.0,13965.0,69624.0,67873.0,68190.0
45,HERTFORD,3479.0,32.45,7097.0,66.2,3305.0,31.8,6815.0,65.58,3282.0,31.06,7212.0,68.24,3416.0,32.87,6976.0,67.13,3291.0,32.03,6985.0,67.97,3133.0,30.32,7201.0,69.68,3503.0,34.26,6722.0,65.74,3328.0,32.41,6941.0,67.59,3158.0,30.64,7148.0,69.36,3447.0,33.39,6877.0,66.61,3265.0,31.72,7028.0,68.28,3268.0,31.75,7025.0,68.25,3323.0,3133.0,3503.0,7002.0,6722.0,7212.0,370.0,-3679.0,10721.0,10392.0,10568.0
46,HOKE,9453.0,42.74,11804.0,53.36,8638.0,40.4,11466.0,53.62,8475.0,39.37,12597.0,58.51,9268.0,43.76,11913.0,56.24,9013.0,42.7,12097.0,57.3,8696.0,41.32,12349.0,58.68,9378.0,44.88,11519.0,55.12,9111.0,43.57,11800.0,56.43,8740.0,41.55,12293.0,58.45,9399.0,44.8,11583.0,55.2,8881.0,42.24,12144.0,57.76,9063.0,43.15,11940.0,56.85,9010.0,8475.0,9453.0,11959.0,11466.0,12597.0,978.0,-2949.0,22120.0,21383.0,21528.0
47,HYDE,1418.0,55.28,1046.0,40.78,1315.0,53.26,1075.0,43.54,1351.0,54.41,1111.0,44.74,1402.0,57.72,1027.0,42.28,1314.0,54.19,1111.0,45.81,1230.0,50.78,1192.0,49.22,1354.0,56.51,1042.0,43.49,1334.0,55.86,1054.0,44.14,1284.0,53.66,1109.0,46.34,1458.0,60.15,966.0,39.85,1310.0,54.61,1089.0,45.39,1320.0,55.0,1080.0,45.0,1341.0,1230.0,1458.0,1075.0,966.0,1192.0,228.0,266.0,2565.0,2469.0,2483.0
48,IREDELL,67010.0,64.14,33888.0,32.44,64319.0,63.44,31893.0,31.46,63962.0,62.71,36375.0,35.66,67190.0,67.12,32907.0,32.88,65349.0,65.49,34432.0,34.51,64367.0,64.86,34874.0,35.14,66902.0,67.89,31643.0,32.11,66237.0,66.97,32674.0,33.03,64501.0,65.08,34615.0,34.92,67681.0,68.1,31699.0,31.9,65814.0,66.41,33295.0,33.59,66514.0,67.33,32277.0,32.67,65820.0,63962.0,67681.0,33381.0,31643.0,36375.0,3719.0,32439.0,104476.0,101386.0,101997.0
49,JACKSON,11356.0,52.18,9591.0,44.07,10763.0,50.68,9382.0,44.17,10519.0,49.28,10406.0,48.75,11644.0,55.14,9474.0,44.86,11144.0,52.95,9904.0,47.05,10879.0,51.78,10131.0,48.22,11664.0,55.79,9242.0,44.21,11326.0,54.12,9602.0,45.88,10896.0,52.15,9997.0,47.85,11731.0,55.84,9276.0,44.16,11169.0,53.33,9773.0,46.67,11311.0,54.15,9577.0,45.85,11200.0,10519.0,11731.0,9696.0,9242.0,10406.0,1212.0,1504.0,21763.0,21239.0,21346.0
50,JOHNSTON,68353.0,59.78,41257.0,36.08,64822.0,58.82,39771.0,36.09,64310.0,57.9,45165.0,40.66,68446.0,62.83,40493.0,37.17,65352.0,60.32,42994.0,39.68,62870.0,58.08,45383.0,41.92,67530.0,63.08,39529.0,36.92,67505.0,62.73,40101.0,37.27,63253.0,58.64,44616.0,41.36,72402.0,66.48,36498.0,33.52,66758.0,61.91,41065.0,38.09,67502.0,62.62,40293.0,37.38,66592.0,62870.0,72402.0,41430.0,36498.0,45383.0,9532.0,25162.0,114343.0,110213.0,111074.0
51,JONES,3280.0,58.49,2197.0,39.18,3046.0,55.85,2124.0,38.94,3128.0,56.75,2333.0,42.33,3266.0,59.99,2178.0,40.01,3126.0,57.86,2277.0,42.14,3041.0,56.19,2371.0,43.81,3205.0,59.62,2171.0,40.38,3189.0,59.14,2203.0,40.86,2949.0,54.59,2453.0,45.41,3291.0,60.78,2124.0,39.22,3135.0,58.0,2270.0,42.0,3210.0,59.47,2188.0,40.53,3156.0,2949.0,3291.0,2241.0,2124.0,2453.0,342.0,915.0,5608.0,5454.0,5512.0
52,LEE,16469.0,53.79,12143.0,39.66,15419.0,53.7,11851.0,41.27,14937.0,51.75,13522.0,46.85,16324.0,57.35,12140.0,42.65,15443.0,54.47,12908.0,45.53,14610.0,51.62,13692.0,48.38,16287.0,58.2,11699.0,41.8,15787.0,56.22,12292.0,43.78,15018.0,53.31,13153.0,46.69,17325.0,61.06,11047.0,38.94,15821.0,56.41,12227.0,43.59,15929.0,56.68,12172.0,43.32,15781.0,14610.0,17325.0,12404.0,11047.0,13692.0,2715.0,3377.0,30618.0,28714.0,28861.0
53,LENOIR,14590.0,35.13,13605.0,32.76,13898.0,49.43,13284.0,47.24,13906.0,49.05,14208.0,50.12,14636.0,52.25,13375.0,47.75,13975.0,50.09,13926.0,49.91,13396.0,48.06,14480.0,51.94,14548.0,52.41,13209.0,47.59,14379.0,51.71,13429.0,48.29,13451.0,48.42,14327.0,51.58,14824.0,53.09,13099.0,46.91,14093.0,50.59,13762.0,49.41,14309.0,51.53,13457.0,48.47,14167.0,13396.0,14824.0,13680.0,13099.0,14480.0,1428.0,487.0,41534.0,28119.0,28348.0
54,LINCOLN,36341.0,70.26,13274.0,25.66,34673.0,69.66,12858.0,25.83,34711.0,69.27,14730.0,29.4,36359.0,73.84,12883.0,26.16,34874.0,71.06,14201.0,28.94,34459.0,70.56,14377.0,29.44,35799.0,73.97,12597.0,26.03,35743.0,73.6,12823.0,26.4,34745.0,71.32,13974.0,28.68,36247.0,74.17,12622.0,25.83,35585.0,73.06,13119.0,26.94,35833.0,73.72,12772.0,26.28,35447.0,34459.0,36359.0,13352.0,12597.0,14730.0,1900.0,22095.0,51722.0,49776.0,50108.0
55,MACON,14211.0,66.16,6230.0,29.01,13408.0,65.35,6248.0,30.45,13333.0,64.46,7062.0,34.14,14222.0,69.88,6129.0,30.12,13778.0,67.82,6537.0,32.18,13457.0,66.66,6730.0,33.34,13864.0,69.27,6150.0,30.73,13967.0,69.55,6116.0,30.45,13580.0,67.54,6526.0,32.46,14152.0,70.24,5997.0,29.76,13788.0,68.61,6307.0,31.39,13883.0,69.11,6206.0,30.89,13804.0,13333.0,14222.0,6353.0,5997.0,7062.0,889.0,7451.0,21479.0,20517.0,20684.0
56,MADISON,7979.0,60.39,4901.0,37.1,7399.0,57.17,4987.0,38.53,7352.0,56.33,5489.0,42.06,7832.0,61.05,4996.0,38.95,7505.0,58.68,5284.0,41.32,7306.0,57.5,5401.0,42.5,7688.0,60.99,4917.0,39.01,7540.0,59.67,5097.0,40.33,7454.0,58.81,5220.0,41.19,7950.0,62.28,4814.0,37.72,7577.0,59.87,5079.0,40.13,7567.0,59.73,5102.0,40.27,7596.0,7306.0,7979.0,5107.0,4814.0,5489.0,673.0,2489.0,13212.0,12943.0,13051.0
57,MARTIN,6532.0,51.13,5911.0,46.27,6034.0,48.57,5973.0,48.08,6154.0,49.18,6277.0,50.16,6500.0,52.73,5827.0,47.27,6068.0,49.36,6225.0,50.64,5764.0,46.95,6512.0,53.05,6257.0,51.24,5954.0,48.76,6209.0,50.82,6008.0,49.18,5730.0,46.81,6511.0,53.19,6656.0,54.1,5647.0,45.9,6219.0,50.78,6028.0,49.22,6239.0,50.92,6014.0,49.08,6197.0,5730.0,6656.0,6074.0,5647.0,6512.0,926.0,123.0,12776.0,12424.0,12513.0
58,MCDOWELL,16883.0,71.66,5832.0,24.75,15894.0,69.87,5934.0,26.09,15761.0,68.83,6851.0,29.92,16808.0,74.39,5787.0,25.61,16259.0,72.05,6306.0,27.95,15989.0,71.31,6434.0,28.69,16352.0,73.55,5879.0,26.45,16447.0,73.81,5837.0,26.19,16059.0,71.85,6293.0,28.15,16900.0,75.17,5582.0,24.83,17026.0,75.46,5537.0,24.54,16457.0,73.72,5868.0,26.28,16403.0,15761.0,17026.0,6012.0,5537.0,6851.0,1265.0,10391.0,23559.0,22747.0,22900.0
59,MECKLENBURG,179211.0,31.27,378107.0,65.97,186693.0,33.18,350775.0,62.34,171123.0,30.32,382726.0,67.81,192445.0,34.55,364571.0,65.45,186985.0,33.62,369137.0,66.38,182318.0,32.96,370853.0,67.04,206365.0,37.57,342923.0,62.43,192718.0,35.0,357863.0,65.0,183536.0,33.32,367221.0,66.68,197214.0,35.74,354520.0,64.26,187945.0,34.14,362580.0,65.86,197778.0,35.97,352076.0,64.03,188694.0,171123.0,206365.0,362779.0,342923.0,382726.0,35242.0,-174085.0,573130.0,562672.0,564433.0
60,MITCHELL,7090.0,77.2,1867.0,20.33,6735.0,75.32,1919.0,21.46,6827.0,75.85,2090.0,23.22,7063.0,79.49,1822.0,20.51,6830.0,77.43,1991.0,22.57,6761.0,77.15,2002.0,22.85,6769.0,77.99,1910.0,22.01,6876.0,78.88,1841.0,21.12,6805.0,77.99,1921.0,22.01,7161.0,81.31,1646.0,18.69,7026.0,79.62,1798.0,20.38,6855.0,78.67,1859.0,21.33,6900.0,6735.0,7161.0,1889.0,1646.0,2090.0,426.0,5011.0,9184.0,8942.0,9001.0
61,MONTGOMERY,8411.0,63.89,4327.0,32.87,7741.0,60.95,4379.0,34.48,7622.0,59.43,5069.0,39.52,8347.0,66.22,4258.0,33.78,7869.0,63.08,4606.0,36.92,7711.0,61.67,4792.0,38.33,8071.0,64.77,4390.0,35.23,8027.0,64.46,4425.0,35.54,7852.0,62.92,4628.0,37.08,8528.0,67.79,4052.0,32.21,8095.0,64.71,4415.0,35.29,7846.0,62.67,4673.0,37.33,8010.0,7622.0,8528.0,4501.0,4052.0,5069.0,906.0,3509.0,13165.0,12700.0,12826.0
62,MOORE,36764.0,62.01,20779.0,35.05,35682.0,61.71,19633.0,33.95,34311.0,59.03,22974.0,39.52,36926.0,64.98,19903.0,35.02,35954.0,63.36,20790.0,36.64,35210.0,62.41,21210.0,37.59,36829.0,65.96,19009.0,34.04,36393.0,65.06,19548.0,34.94,35039.0,62.44,21076.0,37.56,38338.0,67.91,18113.0,32.09,36248.0,64.68,19791.0,35.32,36518.0,65.29,19412.0,34.71,36184.0,34311.0,38338.0,20186.0,18113.0,22974.0,4027.0,15998.0,59287.0,57823.0,58127.0
63,NASH,25827.0,48.05,25947.0,48.27,24719.0,47.63,25474.0,49.09,24062.0,46.1,27692.0,53.06,26023.0,50.3,25713.0,49.7,24380.0,47.19,27284.0,52.81,23876.0,46.29,27699.0,53.71,26125.0,50.99,25106.0,49.01,25360.0,49.37,26003.0,50.63,20745.0,40.32,30712.0,59.68,27113.0,52.46,24568.0,47.54,25496.0,49.57,25937.0,50.43,25607.0,49.85,25761.0,50.15,24944.0,20745.0,27113.0,26491.0,24568.0,30712.0,6368.0,-1547.0,53755.0,51895.0,52194.0
64,NEW HANOVER,63331.0,47.36,66138.0,49.46,61415.0,47.13,61702.0,47.35,59305.0,45.18,69554.0,52.98,64918.0,50.48,63691.0,49.52,61959.0,48.26,66431.0,51.74,60529.0,47.49,66924.0,52.51,65295.0,51.86,60610.0,48.14,63383.0,50.13,63063.0,49.87,60965.0,48.21,65495.0,51.79,65378.0,51.47,61641.0,48.53,62320.0,49.15,64472.0,50.85,64896.0,51.38,61407.0,48.62,62808.0,59305.0,65378.0,64261.0,60610.0,69554.0,6073.0,-1453.0,133724.0,130318.0,131276.0
65,NORTHAMPTON,3989.0,39.09,6069.0,59.48,3720.0,37.16,6005.0,59.98,3689.0,36.58,6313.0,62.6,3883.0,38.94,6089.0,61.06,3734.0,37.58,6203.0,62.42,3619.0,36.45,6311.0,63.55,3892.0,39.53,5953.0,60.47,3782.0,38.33,6084.0,61.67,3539.0,35.76,6357.0,64.24,4014.0,40.48,5902.0,59.52,3753.0,37.99,6126.0,62.01,3809.0,38.46,6094.0,61.54,3785.0,3539.0,4014.0,6126.0,5902.0,6357.0,475.0,-2341.0,10204.0,10011.0,10084.0
66,ONSLOW,46078.0,62.67,24266.0,33.01,42868.0,60.21,23344.0,32.79,43838.0,61.33,25653.0,35.89,45953.0,65.77,23914.0,34.23,45316.0,64.81,24605.0,35.19,43743.0,63.19,25480.0,36.81,44940.0,65.52,23646.0,34.48,45094.0,65.56,23694.0,34.44,43653.0,63.35,25250.0,36.65,45521.0,65.96,23495.0,34.04,43833.0,63.78,24888.0,36.22,45377.0,65.87,23514.0,34.13,44684.0,42868.0,46078.0,24312.0,23344.0,25653.0,3210.0,20372.0,73519.0,71202.0,71478.0
67,ORANGE,20176.0,23.35,63594.0,73.59,20862.0,24.68,61214.0,72.42,18810.0,22.18,65042.0,76.69,21755.0,26.0,61918.0,74.0,20403.0,24.38,63292.0,75.62,20071.0,24.12,63151.0,75.88,23179.0,28.05,59455.0,71.95,21523.0,25.97,61350.0,74.03,20059.0,24.19,62868.0,75.81,24750.0,29.84,58194.0,70.16,21221.0,25.62,61599.0,74.38,22164.0,26.77,60640.0,73.23,21248.0,18810.0,24750.0,61860.0,58194.0,65042.0,5940.0,-40612.0,86416.0,84525.0,84815.0
68,PAMLICO,4849.0,62.62,2713.0,35.03,4589.0,60.53,2681.0,35.36,4672.0,61.26,2881.0,37.78,4876.0,64.52,2681.0,35.48,4777.0,63.44,2753.0,36.56,4637.0,61.62,2888.0,38.38,4790.0,63.93,2702.0,36.07,4819.0,64.29,2677.0,35.71,4518.0,60.13,2996.0,39.87,4963.0,66.09,2547.0,33.91,4723.0,62.96,2779.0,37.04,4819.0,64.24,2683.0,35.76,4753.0,4518.0,4963.0,2748.0,2547.0,2996.0,445.0,2005.0,7744.0,7581.0,7626.0
69,PASQUOTANK,9770.0,46.85,9832.0,47.15,9491.0,48.31,9421.0,47.95,9449.0,47.7,10061.0,50.78,9833.0,50.28,9725.0,49.72,9591.0,49.24,9886.0,50.76,9289.0,47.73,10173.0,52.27,9911.0,51.21,9442.0,48.79,9662.0,49.85,9721.0,50.15,9291.0,47.83,10133.0,52.17,9914.0,51.12,9481.0,48.88,9464.0,48.83,9916.0,51.17,9557.0,49.27,9841.0,50.73,9602.0,9289.0,9914.0,9803.0,9421.0,10173.0,625.0,-201.0,20853.0,19648.0,19811.0
70,PENDER,21956.0,63.29,11723.0,33.79,20660.0,61.2,11272.0,33.39,20854.0,61.33,12599.0,37.05,21897.0,65.53,11517.0,34.47,21205.0,63.75,12059.0,36.25,20855.0,62.91,12293.0,37.09,21482.0,65.26,11437.0,34.74,21446.0,64.88,11611.0,35.12,20902.0,63.28,12127.0,36.72,21887.0,66.21,11170.0,33.79,20996.0,63.63,12001.0,36.37,21815.0,65.99,11244.0,34.01,21330.0,20660.0,21956.0,11754.0,11170.0,12599.0,1296.0,9576.0,34693.0,33759.0,34005.0
71,PERQUIMANS,4903.0,65.06,2492.0,33.07,4817.0,64.87,2382.0,32.08,4756.0,63.66,2637.0,35.3,4957.0,66.72,2473.0,33.28,4858.0,65.73,2533.0,34.27,4698.0,63.67,2681.0,36.33,4905.0,66.69,2450.0,33.31,4845.0,65.8,2518.0,34.2,4711.0,63.87,2665.0,36.13,4984.0,67.4,2411.0,32.6,4828.0,65.65,2526.0,34.35,4697.0,63.73,2673.0,36.27,4830.0,4697.0,4984.0,2537.0,2382.0,2681.0,287.0,2293.0,7536.0,7426.0,7471.0
72,PERSON,13184.0,58.83,8465.0,37.77,12192.0,56.49,8475.0,39.27,12296.0,56.38,9301.0,42.65,13009.0,61.1,8283.0,38.9,12159.0,57.68,8921.0,42.32,11694.0,55.67,9312.0,44.33,12498.0,60.31,8225.0,39.69,12463.0,59.95,8326.0,40.05,11747.0,56.17,9165.0,43.83,13578.0,63.94,7659.0,36.06,12387.0,59.29,8505.0,40.71,12477.0,59.73,8411.0,40.27,12474.0,11694.0,13578.0,8587.0,7659.0,9312.0,1884.0,3887.0,22412.0,21582.0,21809.0
73,PITT,38982.0,43.59,47252.0,52.84,37947.0,43.67,45598.0,52.47,37210.0,42.58,48995.0,56.07,40176.0,46.55,46128.0,53.45,38177.0,44.39,47822.0,55.61,36736.0,42.84,49010.0,57.16,39776.0,46.72,45368.0,53.28,38853.0,45.43,46665.0,54.57,35758.0,41.71,49964.0,58.29,41004.0,47.91,44583.0,52.09,38297.0,44.74,47299.0,55.26,39363.0,46.04,46132.0,53.96,38523.0,35758.0,41004.0,47068.0,44583.0,49964.0,5246.0,-8545.0,89430.0,86901.0,87388.0
74,POLK,7689.0,61.0,4518.0,35.85,7394.0,60.35,4436.0,36.21,7280.0,59.19,4863.0,39.54,7736.0,63.56,4436.0,36.44,7571.0,62.5,4542.0,37.5,7417.0,61.64,4616.0,38.36,7636.0,63.93,4309.0,36.07,7616.0,63.46,4386.0,36.54,7460.0,62.06,4560.0,37.94,7711.0,64.02,4333.0,35.98,7550.0,62.79,4474.0,37.21,7599.0,63.36,4394.0,36.64,7555.0,7280.0,7736.0,4489.0,4309.0,4863.0,456.0,3066.0,12604.0,12252.0,12299.0
75,RANDOLPH,56894.0,76.07,15618.0,20.88,53357.0,73.52,15973.0,22.01,53176.0,72.93,18929.0,25.96,56749.0,78.53,15516.0,21.47,54853.0,76.27,17067.0,23.73,54285.0,75.82,17312.0,24.18,54641.0,76.54,16748.0,23.46,55531.0,77.92,15732.0,22.08,54501.0,76.33,16900.0,23.67,57828.0,80.34,14149.0,19.66,55298.0,77.54,16017.0,22.46,56275.0,78.68,15249.0,21.32,55282.0,53176.0,57828.0,16268.0,14149.0,18929.0,4652.0,39014.0,74794.0,72570.0,72913.0
76,RICHMOND,11830.0,56.35,8754.0,41.7,11002.0,53.85,8510.0,41.65,10740.0,52.06,9622.0,46.64,11457.0,56.68,8755.0,43.32,10958.0,54.45,9168.0,45.55,10434.0,52.13,9580.0,47.87,11367.0,57.22,8497.0,42.78,11119.0,55.84,8792.0,44.16,10688.0,53.52,9283.0,46.48,11540.0,57.56,8509.0,42.44,10967.0,54.93,8997.0,45.07,9330.0,45.9,10998.0,54.1,10953.0,9330.0,11830.0,9122.0,8497.0,10998.0,2500.0,1831.0,20995.0,20430.0,20631.0
77,ROBESON,27806.0,58.38,19020.0,39.94,25211.0,54.87,19135.0,41.64,23888.0,51.27,22281.0,47.82,25712.0,56.79,19565.0,43.21,24415.0,54.31,20543.0,45.69,22819.0,50.89,22017.0,49.11,24640.0,55.4,19833.0,44.6,24615.0,55.1,20062.0,44.9,23448.0,52.37,21327.0,47.63,25440.0,56.83,19327.0,43.17,24079.0,53.75,20717.0,46.25,24411.0,54.35,20505.0,45.65,24707.0,22819.0,27806.0,20361.0,19020.0,22281.0,4987.0,4346.0,47627.0,45949.0,46590.0
78,ROCKINGHAM,31301.0,64.41,15992.0,32.91,28971.0,61.23,16189.0,34.22,28891.0,60.63,18197.0,38.19,31170.0,66.26,15871.0,33.74,29959.0,63.81,16993.0,36.19,29355.0,62.86,17342.0,37.14,30302.0,65.18,16191.0,34.82,30022.0,64.36,16623.0,35.64,29631.0,63.68,16900.0,36.32,32616.0,69.49,14323.0,30.51,30328.0,65.17,16206.0,34.83,30495.0,65.38,16149.0,34.62,30253.0,28891.0,32616.0,16415.0,14323.0,18197.0,3725.0,13838.0,48596.0,47313.0,47652.0
79,ROWAN,49297.0,65.04,23114.0,30.5,46446.0,63.85,22615.0,31.09,46676.0,63.75,25473.0,34.79,49231.0,68.16,22995.0,31.84,47336.0,65.66,24753.0,34.34,46930.0,65.36,24869.0,34.64,48617.0,68.29,22577.0,31.71,48740.0,68.19,22735.0,31.81,47294.0,66.06,24302.0,33.94,50391.0,70.24,21346.0,29.76,48373.0,67.55,23238.0,32.45,49083.0,68.44,22632.0,31.56,48201.0,46446.0,50391.0,23387.0,21346.0,25473.0,3945.0,24814.0,75793.0,72748.0,73219.0
80,RUTHERFORD,24891.0,71.41,9135.0,26.21,23596.0,69.26,9136.0,26.82,23437.0,68.38,10469.0,30.54,24672.0,72.89,9176.0,27.11,24198.0,71.65,9573.0,28.35,23748.0,70.64,9870.0,29.36,24263.0,72.64,9140.0,27.36,24255.0,72.4,9245.0,27.6,23995.0,71.63,9505.0,28.37,24803.0,73.74,8831.0,26.26,24250.0,72.25,9315.0,27.75,24237.0,72.47,9205.0,27.53,24195.0,23437.0,24891.0,9383.0,8831.0,10469.0,1454.0,14812.0,34858.0,34067.0,34276.0
81,SAMPSON,17411.0,60.03,10966.0,37.81,16521.0,58.25,10818.0,38.15,16404.0,57.48,11890.0,41.66,17254.0,61.17,10951.0,38.83,16634.0,59.19,11470.0,40.81,16092.0,57.24,12022.0,42.76,16978.0,60.92,10890.0,39.08,17006.0,60.84,10944.0,39.16,16361.0,58.37,11668.0,41.63,17817.0,63.44,10270.0,36.56,16894.0,60.32,11113.0,39.68,17022.0,60.68,11031.0,39.32,16866.0,16092.0,17817.0,11169.0,10270.0,12022.0,1725.0,5697.0,29003.0,28360.0,28538.0
82,SCOTLAND,7473.0,49.46,7186.0,47.56,7066.0,48.86,6850.0,47.37,6821.0,46.57,7671.0,52.37,7257.0,50.53,7105.0,49.47,7025.0,49.2,7253.0,50.8,6662.0,46.65,7620.0,53.35,7176.0,50.62,6999.0,49.38,7033.0,49.6,7146.0,50.4,6696.0,47.14,7508.0,52.86,7356.0,51.56,6911.0,48.44,6950.0,48.84,7281.0,51.16,6819.0,47.89,7421.0,52.11,7028.0,6662.0,7473.0,7246.0,6850.0,7671.0,811.0,-218.0,15109.0,14461.0,14647.0
83,STANLY,25458.0,67.54,8129.0,21.57,23891.0,71.17,8045.0,23.96,24022.0,71.04,9413.0,27.84,25112.0,75.72,8054.0,24.28,24064.0,72.83,8978.0,27.17,23835.0,72.39,9093.0,27.61,24665.0,75.49,8010.0,24.51,24618.0,75.13,8149.0,24.87,24149.0,73.44,8733.0,26.56,25510.0,77.14,7561.0,22.86,24708.0,75.17,8162.0,24.83,24600.0,74.77,8299.0,25.23,24553.0,23835.0,25510.0,8386.0,7561.0,9413.0,1675.0,16167.0,37692.0,33571.0,33816.0
84,STOKES,20142.0,76.76,5286.0,20.14,18599.0,72.99,5611.0,22.02,18849.0,73.4,6567.0,25.57,20041.0,79.0,5328.0,21.0,19359.0,76.59,5916.0,23.41,18984.0,75.45,6178.0,24.55,19393.0,77.39,5666.0,22.61,19528.0,77.99,5510.0,22.01,19068.0,76.12,5981.0,23.88,20394.0,80.98,4790.0,19.02,19464.0,77.69,5588.0,22.31,19616.0,78.14,5489.0,21.86,19453.0,18599.0,20394.0,5659.0,4790.0,6567.0,1795.0,13794.0,26240.0,25480.0,25681.0
